No,제목,회사,지역,Link
79,토목설계사/건축설계사 및 보조,대흥엔지니어링,경남 진주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000528&src=etc*search
80,조경 설계,(주)비스타하임,전북 전주시 완산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004225&src=etc*search
81,"기계설계 / 개발팀, 장비설계 정규직 경력사원 모집",와이투라인(주),대전 대덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603130001514&src=etc*search
82,"전기전자 제어 연구개발, 설계",(주)에이치알컨설팅그룹,경남 창원시 성산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603230001132&src=etc*search
83,"토목설계기술자 ,도시계획설계기술자 구인",(주)신화측량설계공사,전남 나주시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603200000734&src=etc*search
84,기계 금속 설계,하이콘,인천 서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000641&src=etc*search
85,변압기 설계팀장  (전기설계 / 부장-이사급),자바스서치 주식회사,경기,https://job.incruit.com/jobdb_info/jobpost.asp?job=2602060001923&src=etc*search
86,기계 설계 채용,토탈산업 주식회사,전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603260000602&src=etc*search
87,기계 설계,(주)동화정공,경기 시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250001164&src=etc*search
88,자동화장비 설계,(주)에스엔티,충북 청주시 흥덕구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603310000941&src=etc*search
89,설계(판금 관련) 경력자 채용 공고,(주)오성엔지니어링,경기 시흥시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604010000525&src=etc*search
90,금형설계,주식회사 대원몰드,부산 사상구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002788&src=etc*search
